"year","month","landNorth","oceanNorth","landAverage","oceanAverage"
1880,1,2.7379,15.6821,2.8,15.8
1880,2,2.5692,15.6572,3.2,15.9
1880,3,4.1916,15.6869,5,15.9
1880,4,7.8208,15.9462,8.1,16
1880,5,10.8812,16.2386,11.1,16.3
1880,6,13.0983,16.331,13.3,16.4
1880,7,13.9866,16.3466,14.3,16.4
1880,8,13.4959,16.3566,13.8,16.4
1880,9,11.6696,16.1336,12,16.2
1880,10,8.6797,15.8106,9.3,15.9
1880,11,4.8556,15.7093,5.9,15.8
1880,12,3.1192,15.6955,3.7,15.7
1881,1,2.3887,15.8659,2.8,15.8
1881,2,2.7265,15.9697,3.2,15.9
1881,3,4.7605,15.9613,5,15.9
1881,4,8.1213,16.0306,8.1,16
1881,5,11.1312,16.3358,11.1,16.3
1881,6,12.8093,16.4181,13.3,16.4
1881,7,14.0772,16.485,14.3,16.4
1881,8,13.9179,16.3355,13.8,16.4
1881,9,11.4841,16.0517,12,16.2
1881,10,8.4359,15.658,9.3,15.9
1881,11,4.8368,15.5063,5.9,15.8
1881,12,3.3387,15.6059,3.7,15.7
1882,1,2.8975,15.813,2.8,15.8
1882,2,3.0975,15.815,3.2,15.9
1882,3,5.0426,15.8995,5,15.9
1882,4,7.3254,15.9136,8.1,16
1882,5,10.6159,16.2896,11.1,16.3
1882,6,12.8663,16.2664,13.3,16.4
1882,7,13.8466,16.2659,14.3,16.4
1882,8,13.8728,16.2854,13.8,16.4
1882,9,11.9253,16.2476,12,16.2
1882,10,8.3308,15.9209,9.3,15.9
1882,11,5.4499,15.8278,5.9,15.8
1882,12,2.9727,15.6017,3.7,15.7
1883,1,1.2625,15.7187,2.8,15.8
1883,2,1.5507,15.8309,3.2,15.9
1883,3,4.4966,15.8096,5,15.9
1883,4,7.4709,15.9124,8.1,16
1883,5,10.6719,16.2077,11.1,16.3
1883,6,13.2078,16.4264,13.3,16.4
1883,7,13.9935,16.4385,14.3,16.4
1883,8,13.5705,16.4155,13.8,16.4
1883,9,11.6577,16.1027,12,16.2
1883,10,8.7569,15.7911,9.3,15.9
1883,11,5.1488,15.6446,5.9,15.8
1883,12,3.5888,15.6341,3.7,15.7
1884,1,2.4882,15.6891,2.8,15.8
1884,2,2.3771,15.843,3.2,15.9
1884,3,3.913,15.8446,5,15.9
1884,4,7.2893,15.8076,8.1,16
1884,5,10.6255,16.2699,11.1,16.3
1884,6,12.8943,16.2947,13.3,16.4
1884,7,13.7186,16.2877,14.3,16.4
1884,8,12.9643,16.2459,13.8,16.4
1884,9,11.3085,15.9735,12,16.2
1884,10,8.8383,15.7462,9.3,15.9
1884,11,5.0292,15.4982,5.9,15.8
1884,12,3.4241,15.4597,3.7,15.7
1885,1,1.0928,15.6168,2.8,15.8
1885,2,2.3027,15.7105,3.2,15.9
1885,3,4.8728,15.7805,5,15.9
1885,4,7.6002,15.8262,8.1,16
1885,5,10.4365,16.1972,11.1,16.3
1885,6,12.7562,16.1711,13.3,16.4
1885,7,13.8734,16.281,14.3,16.4
1885,8,13.0391,16.3197,13.8,16.4
1885,9,11.6535,16.1314,12,16.2
1885,10,8.9009,15.877,9.3,15.9
1885,11,5.7128,15.7904,5.9,15.8
1885,12,4.0543,15.6834,3.7,15.7
1886,1,2.2572,15.7031,2.8,15.8
1886,2,2.003,15.7852,3.2,15.9
1886,3,4.1042,15.8229,5,15.9
1886,4,7.7796,15.9687,8.1,16
1886,5,10.7456,16.3391,11.1,16.3
1886,6,12.8087,16.3874,13.3,16.4
1886,7,14.1562,16.3806,14.3,16.4
1886,8,13.5105,16.2309,13.8,16.4
1886,9,11.6602,16.0819,12,16.2
1886,10,8.7495,15.7614,9.3,15.9
1886,11,5.1816,15.5708,5.9,15.8
1886,12,3.9376,15.4854,3.7,15.7
1887,1,1.4103,15.5332,2.8,15.8
1887,2,2.2824,15.639,3.2,15.9
1887,3,4.773,15.7243,5,15.9
1887,4,7.9096,15.8421,8.1,16
1887,5,11.2048,16.1657,11.1,16.3
1887,6,13.076,16.321,13.3,16.4
1887,7,14.0805,16.3024,14.3,16.4
1887,8,13.1664,16.2743,13.8,16.4
1887,9,12.0369,15.9981,12,16.2
1887,10,8.6875,15.7575,9.3,15.9
1887,11,5.8926,15.6938,5.9,15.8
1887,12,3.5259,15.5697,3.7,15.7
1888,1,1.5986,15.6034,2.8,15.8
1888,2,2.2698,15.7704,3.2,15.9
1888,3,4.3541,15.8923,5,15.9
1888,4,7.8912,16.0196,8.1,16
1888,5,10.6674,16.3344,11.1,16.3
1888,6,13.036,16.5587,13.3,16.4
1888,7,14.1712,16.437,14.3,16.4
1888,8,13.2569,16.3841,13.8,16.4
1888,9,11.7689,16.1848,12,16.2
1888,10,9.145,15.9852,9.3,15.9
1888,11,5.2639,15.9542,5.9,15.8
1888,12,3.4505,15.9025,3.7,15.7
1889,1,1.9434,15.9438,2.8,15.8
1889,2,3.0849,15.9855,3.2,15.9
1889,3,5.2258,16.0446,5,15.9
1889,4,8.4936,16.0777,8.1,16
1889,5,10.9008,16.4492,11.1,16.3
1889,6,13.1865,16.4924,13.3,16.4
1889,7,14.0372,16.385,14.3,16.4
1889,8,13.6743,16.3117,13.8,16.4
1889,9,11.5679,16.077,12,16.2
1889,10,8.6602,15.7993,9.3,15.9
1889,11,4.7389,15.7218,5.9,15.8
1889,12,3.2574,15.5685,3.7,15.7
1890,1,1.9202,15.6336,2.8,15.8
1890,2,2.2219,15.6846,3.2,15.9
1890,3,4.4013,15.7471,5,15.9
1890,4,7.8788,15.8045,8.1,16
1890,5,10.334,16.0781,11.1,16.3
1890,6,12.91,16.144,13.3,16.4
1890,7,14.241,16.0222,14.3,16.4
1890,8,13.4629,15.9688,13.8,16.4
1890,9,11.6114,15.8557,12,16.2
