"grad4","grad6","cohort","name","control","endow","medSAT","fulltime","fulltimefac","pell"
44.8,67.2,58,"University of Alabama at Birmingham","Public",21260,1113,74.4,96,33
30.3,57.6,33,"University of Alabama at Tuscaloosa","Public",23206,1159,91.9,69,12
36.4,67.3,55,"Auburn University","Public",17388,1217,92.6,93,3
21.9,43.8,32,"University of South Alabama","Public",9232,1010,74.5,49,44
11.3,27.5,80,"University of Alaska at Anchorage","Public",2922,NA,45.3,22,4
34.4,61.1,352,"Arizona State University at Tempe","Public",7206,1077,83.1,95,43
34.1,63.2,364,"University of Arizona","Public",13361,1095,88.1,81,28
19.2,57.7,26,"Embry-Riddle Aeronautical University at Prescott","Private not-for-profit",8402,1132,93.6,77,38
31.3,50,64,"Northern Arizona University","Public",3765,1056,83.3,35,50
41,68.9,61,"University of Arkansas at Fayetteville","Public",37331,1162,87,95,15
22.5,42.5,40,"University of Central Arkansas","Public",498,1090,83.7,71,55
2.4,38.1,42,"Academy of Art University","Private for-profit",NA,NA,57,36,7
20.6,70.6,34,"Art Center College of Design","Private not-for-profit",20973,NA,84.4,10,50
48.9,62.2,45,"Azusa Pacific University","Private not-for-profit",4173,1089,85.4,92,29
43.1,60,65,"Biola University","Private not-for-profit",11403,1114,93.9,42,40
8.7,30.4,23,"California College of the Arts","Private not-for-profit",16297,NA,92.6,5,39
87.9,95.5,66,"California Institute of Technology","Private not-for-profit",753036,1528,100,97,3
36.4,45.5,22,"California Lutheran University","Private not-for-profit",14832,1117,91.6,37,25
23.4,70.5,363,"California Polytechnic State University at San Luis Obispo","Public",8225,1205,96.6,60,5
18.5,46.3,54,"California State University at Bakersfield","Public",2019,897,86.1,57,91
20,42.4,85,"California State University-Stanislaus","Public",1267,940,79.8,43,85
13.6,40,140,"California State University at San Bernardino","Public",1109,898,86.7,33,88
21.9,63.3,640,"California State Polytechnic University at Pomona","Public",1829,1058,85.1,30,65
11.5,58.8,148,"California State University at Chico","Public",2175,1014,92.6,40,46
0,25,40,"California State University-Dominguez Hills","Public",750,830,65.2,18,84
14.9,44.1,397,"California State University at Fresno","Public",5985,941,86.7,37,74
16.1,56.4,778,"California State University at Fullerton","Public",854,993,75.9,26,40
14.5,50.5,289,"California State University-East Bay","Public",387,914,84.8,29,53
9.7,53.4,773,"California State University at Long Beach","Public",1285,1016,82,30,60
10.7,45.7,234,"California State University at Los Angeles","Public",886,862,82.3,30,89
12.8,50.1,407,"California State University at Northridge","Public",1879,929,76.7,19,73
7.4,38.9,525,"California State University at Sacramento","Public",1022,958,80.8,45,72
76.4,94.4,1631,"University of California at Berkeley","Public",24839,1333,97.6,68,48
51.1,83.2,1834,"University of California at Davis","Public",5786,1193,97.2,84,63
63,86.1,1771,"University of California at Irvine","Public",6654,1177,98,76,40
71.4,93,1496,"University of California at Los Angeles","Public",28132,1264,97.2,75,54
49.1,72.2,1401,"University of California at Riverside","Public",3930,1051,97.6,80,85
55.3,88,1672,"University of California at San Diego","Public",11190,1252,96.9,86,74
60.2,79.6,683,"University of California at Santa Barbara","Public",4626,1197,98,77,44
48.6,75.9,609,"University of California at Santa Cruz","Public",2698,1150,97,60,46
41.7,58.3,24,"California Maritime Academy","Public",2200,1059,97.2,76,41
50,67.6,74,"Chapman University","Private not-for-profit",NA,1204,95.3,50,18
94.7,97.4,38,"Claremont McKenna College","Private not-for-profit",369317,1388,99.6,93,7
42.1,47.4,95,"DeVry University at Pomona","Private for-profit",NA,NA,47.5,37,43
