Order,Family,Species,Location,Behavior,Trophic,N,FracEmpty
Osteoglossiformes,Mormyridae,Hippopotamyrus discorhynchus,Africa,Nocturnal,Invertivore,37,0.1081
Osteoglossiformes,Mormyridae,Marcusenius macrolepidotus,Africa,Nocturnal,Invertivore,83,0.1687
Osteoglossiformes,Mormyridae,Mormyrus lacerda,Africa,Nocturnal,Invertivore,46,0.0435
Osteoglossiformes,Mormyridae,Petrocephalus catostoma,Africa,Nocturnal,Invertivore,11,0.0000
Osteoglossiformes,Mormyridae,Pollimyrus castelnaui,Africa,Nocturnal,Invertivore,47,0.0000
Cypriniformes,Cyprinidae,Barbus annectens ,Africa,Diurnal,Omnivore,17,0.0000
Cypriniformes,Cyprinidae,Barbus paludinosus,Africa,Diurnal,Invertivore,60,0.0833
Cypriniformes,Cyprinidae,Barbus poechii,Africa,Diurnal,Omnivore,51,0.0392
Cypriniformes,Cyprinidae,Labeo lunatus,Africa,Diurnal,Algiv./Detritiv.,19,0.2105
Characiformes,Alestiidae,Brycinus lateralis,Africa,Diurnal,Omnivore,19,0.0000
Characiformes,Hepsetidae,Hepsetus odoe,Africa,Diurnal,Piscivore,194,0.5619
Siluriformes,Clariidae,Clarias gariepinus,Africa,Nocturnal,Piscivore,59,0.6441
Siluriformes,Clariidae,Clarias ngamensis,Africa,Nocturnal,Piscivore,48,0.4167
Siluriformes,Clariidae,Clarias theodorae,Africa,Nocturnal,Piscivore,19,0.1053
Siluriformes,Mochokidae,Synodontis leopardinus,Africa,Nocturnal,Invertivore,62,0.2903
Siluriformes,Mochokidae,Synodontis macrostigma,Africa,Nocturnal,Invertivore,28,0.2143
Siluriformes,Mochokidae,Synodontis nigromaculatus,Africa,Nocturnal,Invertivore,24,0.0000
Siluriformes,Mochokidae,Synodontis woosnami,Africa,Nocturnal,Invertivore,82,0.0854
Siluriformes,Schilbeidae,Schilbe mystus,Africa,Nocturnal,Piscivore,399,0.4035
Cyprinodontiformes,Poeciliidae,Aplocheilichthys johnstoni,Africa,Diurnal,Invertivore,65,0.0154
Synbranchiformes,Mastacembelidae,Caecomastacembelus frenatus,Africa,Nocturnal,Invertivore,10,0.4000
Perciformes,Cichlidae,Hemichromis fasciatus,Africa,Diurnal,Piscivore,20,0.6500
Perciformes,Cichlidae,Oreochromis andersonii,Africa,Diurnal,Algiv./Detritiv.,20,0.0000
Perciformes,Cichlidae,Oreochromis macrochir ,Africa,Diurnal,Invertivore,42,0.0952
Perciformes,Cichlidae,Pharyngochromis darlingi,Africa,Diurnal,Invertivore,28,0.0000
Perciformes,Cichlidae,Pseudocrenilabrus philander,Africa,Diurnal,Invertivore,48,0.0000
Perciformes,Cichlidae,Sargochromis carlottae,Africa,Diurnal,Invertivore,35,0.0571
Perciformes,Cichlidae,Sargochromis codringtonii,Africa,Diurnal,Invertivore,119,0.1092
Perciformes,Cichlidae,Sargochromis giardi,Africa,Diurnal,Invertivore,101,0.5050
Perciformes,Cichlidae,Serranochromis altus,Africa,Diurnal,Piscivore,104,0.7788
Perciformes,Cichlidae,Serranochromis angusticeps,Africa,Diurnal,Piscivore,223,0.7892
Perciformes,Cichlidae,Serranochromis macrocephalus,Africa,Diurnal,Piscivore,267,0.7079
Perciformes,Cichlidae,Serranochromis robustus,Africa,Diurnal,Piscivore,181,0.5801
Perciformes,Cichlidae,Tilapia rendalli,Africa,Diurnal,Algiv./Detritiv.,86,0.0930
Perciformes,Cichlidae,Tilapia sparrmani,Africa,Diurnal,Algiv./Detritiv.,92,0.0435
Clupeiformes,Clupeidae,Pellona castelnaeana,Central/South America,Diurnal,Piscivore,20,0.3500
Characiformes,Alestiidae,Hydrocynus vittatus,Central/South America,Diurnal,Piscivore,319,0.5580
Characiformes,Anostomidae,Leporinus friderici,Central/South America,Diurnal,Omnivore,65,0.0308
Characiformes,Anostomidae,Schizodon isognathus,Central/South America,Diurnal,Omnivore,92,0.0109
Characiformes,Characidae,Acestrorhynchus heterolepis,Central/South America,Diurnal,Piscivore,11,0.7273
Characiformes,Characidae,Acestrorhynchus minimus,Central/South America,Diurnal,Piscivore,35,0.4571
Characiformes,Characidae,Aphyocharax erythrurus,Central/South America,Diurnal,Invertivore,273,0.0256
Characiformes,Characidae,Astyanax bimaculatus,Central/South America,Diurnal,Omnivore,390,0.0179
Characiformes,Characidae,Astyanax fasciatus,Central/South America,Diurnal,Omnivore,549,0.0146
Characiformes,Characidae,Astyanax metae,Central/South America,Diurnal,Omnivore,182,0.0110
Characiformes,Characidae,Brycon guatemalensis,Central/South America,Diurnal,Omnivore,115,0.0261
