"location","date","hour","minute","level","time"
1612404,20110601,0,0,1.83,0
1612404,20110601,0,6,1.86,0.00416666666666667
1612404,20110601,0,12,1.9,0.00833333333333333
1612404,20110601,0,18,1.93,0.0125
1612404,20110601,0,24,1.96,0.0166666666666667
1612404,20110601,0,30,1.98,0.0208333333333333
1612404,20110601,0,36,2.01,0.025
1612404,20110601,0,42,2.03,0.0291666666666667
1612404,20110601,0,48,2.06,0.0333333333333333
1612404,20110601,0,54,2.08,0.0375
1612404,20110601,1,0,2.09,0.0416666666666667
1612404,20110601,1,6,2.11,0.0458333333333333
1612404,20110601,1,12,2.13,0.05
1612404,20110601,1,18,2.14,0.0541666666666667
1612404,20110601,1,24,2.15,0.0583333333333333
1612404,20110601,1,30,2.16,0.0625
1612404,20110601,1,36,2.17,0.0666666666666667
1612404,20110601,1,42,2.18,0.0708333333333333
1612404,20110601,1,48,2.18,0.075
1612404,20110601,1,54,2.18,0.0791666666666667
1612404,20110601,2,0,2.18,0.0833333333333333
1612404,20110601,2,6,2.18,0.0875
1612404,20110601,2,12,2.18,0.0916666666666667
1612404,20110601,2,18,2.17,0.0958333333333333
1612404,20110601,2,24,2.16,0.1
1612404,20110601,2,30,2.15,0.104166666666667
1612404,20110601,2,36,2.14,0.108333333333333
1612404,20110601,2,42,2.13,0.1125
1612404,20110601,2,48,2.11,0.116666666666667
1612404,20110601,2,54,2.09,0.120833333333333
1612404,20110601,3,0,2.07,0.125
1612404,20110601,3,6,2.05,0.129166666666667
1612404,20110601,3,12,2.02,0.133333333333333
1612404,20110601,3,18,2,0.1375
1612404,20110601,3,24,1.97,0.141666666666667
1612404,20110601,3,30,1.95,0.145833333333333
1612404,20110601,3,36,1.91,0.15
1612404,20110601,3,42,1.88,0.154166666666667
1612404,20110601,3,48,1.85,0.158333333333333
1612404,20110601,3,54,1.81,0.1625
1612404,20110601,4,0,1.78,0.166666666666667
1612404,20110601,4,6,1.74,0.170833333333333
1612404,20110601,4,12,1.7,0.175
1612404,20110601,4,18,1.66,0.179166666666667
1612404,20110601,4,24,1.62,0.183333333333333
1612404,20110601,4,30,1.58,0.1875
1612404,20110601,4,36,1.54,0.191666666666667
1612404,20110601,4,42,1.5,0.195833333333333
1612404,20110601,4,48,1.46,0.2
1612404,20110601,4,54,1.41,0.204166666666667
1612404,20110601,5,0,1.37,0.208333333333333
1612404,20110601,5,6,1.33,0.2125
1612404,20110601,5,12,1.28,0.216666666666667
1612404,20110601,5,18,1.24,0.220833333333333
1612404,20110601,5,24,1.2,0.225
1612404,20110601,5,30,1.15,0.229166666666667
1612404,20110601,5,36,1.11,0.233333333333333
1612404,20110601,5,42,1.06,0.2375
1612404,20110601,5,48,1.02,0.241666666666667
1612404,20110601,5,54,0.98,0.245833333333333
1612404,20110601,6,0,0.93,0.25
1612404,20110601,6,6,0.89,0.254166666666667
1612404,20110601,6,12,0.85,0.258333333333333
1612404,20110601,6,18,0.81,0.2625
1612404,20110601,6,24,0.76,0.266666666666667
1612404,20110601,6,30,0.73,0.270833333333333
1612404,20110601,6,36,0.69,0.275
1612404,20110601,6,42,0.65,0.279166666666667
1612404,20110601,6,48,0.61,0.283333333333333
1612404,20110601,6,54,0.57,0.2875
1612404,20110601,7,0,0.54,0.291666666666667
1612404,20110601,7,6,0.51,0.295833333333333
1612404,20110601,7,12,0.48,0.3
1612404,20110601,7,18,0.45,0.304166666666667
1612404,20110601,7,24,0.42,0.308333333333333
1612404,20110601,7,30,0.39,0.3125
1612404,20110601,7,36,0.36,0.316666666666667
1612404,20110601,7,42,0.34,0.320833333333333
1612404,20110601,7,48,0.31,0.325
1612404,20110601,7,54,0.3,0.329166666666667
1612404,20110601,8,0,0.28,0.333333333333333
1612404,20110601,8,6,0.26,0.3375
1612404,20110601,8,12,0.24,0.341666666666667
1612404,20110601,8,18,0.23,0.345833333333333
1612404,20110601,8,24,0.22,0.35
1612404,20110601,8,30,0.21,0.354166666666667
1612404,20110601,8,36,0.2,0.358333333333333
1612404,20110601,8,42,0.19,0.3625
1612404,20110601,8,48,0.18,0.366666666666667
1612404,20110601,8,54,0.18,0.370833333333333
1612404,20110601,9,0,0.17,0.375
1612404,20110601,9,6,0.17,0.379166666666667
1612404,20110601,9,12,0.17,0.383333333333333
1612404,20110601,9,18,0.17,0.3875
1612404,20110601,9,24,0.17,0.391666666666667
1612404,20110601,9,30,0.18,0.395833333333333
1612404,20110601,9,36,0.18,0.4
1612404,20110601,9,42,0.19,0.404166666666667
1612404,20110601,9,48,0.19,0.408333333333333
1612404,20110601,9,54,0.2,0.4125
1612404,20110601,10,0,0.21,0.416666666666667
1612404,20110601,10,6,0.22,0.420833333333333
1612404,20110601,10,12,0.23,0.425
1612404,20110601,10,18,0.24,0.429166666666667
1612404,20110601,10,24,0.25,0.433333333333333
1612404,20110601,10,30,0.27,0.4375
1612404,20110601,10,36,0.28,0.441666666666667
1612404,20110601,10,42,0.29,0.445833333333333
1612404,20110601,10,48,0.31,0.45
1612404,20110601,10,54,0.32,0.454166666666667
1612404,20110601,11,0,0.33,0.458333333333333
1612404,20110601,11,6,0.35,0.4625
1612404,20110601,11,12,0.36,0.466666666666667
1612404,20110601,11,18,0.38,0.470833333333333
1612404,20110601,11,24,0.39,0.475
1612404,20110601,11,30,0.4,0.479166666666667
1612404,20110601,11,36,0.42,0.483333333333333
1612404,20110601,11,42,0.43,0.4875
1612404,20110601,11,48,0.45,0.491666666666667
1612404,20110601,11,54,0.46,0.495833333333333
1612404,20110601,12,0,0.47,0.5
1612404,20110601,12,6,0.48,0.504166666666667
1612404,20110601,12,12,0.5,0.508333333333333
1612404,20110601,12,18,0.51,0.5125
1612404,20110601,12,24,0.52,0.516666666666667
1612404,20110601,12,30,0.52,0.520833333333333
1612404,20110601,12,36,0.53,0.525
1612404,20110601,12,42,0.54,0.529166666666667
1612404,20110601,12,48,0.54,0.533333333333333
1612404,20110601,12,54,0.55,0.5375
1612404,20110601,13,0,0.56,0.541666666666667
1612404,20110601,13,6,0.56,0.545833333333333
1612404,20110601,13,12,0.56,0.55
1612404,20110601,13,18,0.57,0.554166666666667
1612404,20110601,13,24,0.57,0.558333333333333
1612404,20110601,13,30,0.57,0.5625
1612404,20110601,13,36,0.57,0.566666666666667
1612404,20110601,13,42,0.57,0.570833333333333
1612404,20110601,13,48,0.57,0.575
1612404,20110601,13,54,0.57,0.579166666666667
1612404,20110601,14,0,0.56,0.583333333333333
1612404,20110601,14,6,0.56,0.5875
1612404,20110601,14,12,0.56,0.591666666666667
1612404,20110601,14,18,0.55,0.595833333333333
1612404,20110601,14,24,0.54,0.6
1612404,20110601,14,30,0.54,0.604166666666667
1612404,20110601,14,36,0.53,0.608333333333333
1612404,20110601,14,42,0.52,0.6125
1612404,20110601,14,48,0.51,0.616666666666667
1612404,20110601,14,54,0.5,0.620833333333333
1612404,20110601,15,0,0.49,0.625
1612404,20110601,15,6,0.48,0.629166666666667
1612404,20110601,15,12,0.46,0.633333333333333
1612404,20110601,15,18,0.45,0.6375
1612404,20110601,15,24,0.43,0.641666666666667
1612404,20110601,15,30,0.42,0.645833333333333
1612404,20110601,15,36,0.4,0.65
1612404,20110601,15,42,0.38,0.654166666666667
1612404,20110601,15,48,0.37,0.658333333333333
1612404,20110601,15,54,0.35,0.6625
1612404,20110601,16,0,0.33,0.666666666666667
1612404,20110601,16,6,0.31,0.670833333333333
1612404,20110601,16,12,0.29,0.675
1612404,20110601,16,18,0.27,0.679166666666667
1612404,20110601,16,24,0.25,0.683333333333333
1612404,20110601,16,30,0.23,0.6875
