"finger","height"
10.03,55.59
10.31,56.52
9.936,58.26
10.17,58.1
10.17,58.28
10.33,58.34
10.39,57.85
10.67,57.67
9.984,58.75
10.07,59.15
10.18,58.76
10.17,58.72
10.26,58.51
10.31,58.93
10.34,58.94
10.37,59.05
10.55,59.01
10.59,58.95
10.67,59.49
10.67,58.56
10.77,59.23
10.75,58.93
11,59.01
10.98,58.57
11.08,58.9
11.1,58.9
11.11,59.48
11.17,58.55
11.23,59.21
11.23,59.3
11.3,59.11
9.912,59.51
10.01,60.16
9.98,60.29
10.13,59.89
10.06,59.66
10.11,60.29
10.22,59.66
10.17,59.61
10.31,59.98
10.32,59.58
10.39,59.69
10.4,59.69
10.54,60.09
10.53,59.55
10.5,59.62
10.58,60.48
10.57,60.11
10.62,59.75
10.57,60.37
10.69,60.19
10.75,60.33
10.67,59.69
10.71,59.66
10.79,60.25
10.8,59.96
10.81,60.39
10.84,59.69
10.76,59.97
10.88,59.64
10.95,59.98
10.96,59.68
11.02,60.09
10.99,60.17
10.95,59.93
11.02,59.61
10.98,59.91
11.15,60.07
11.12,59.92
11.08,59.62
11.25,59.86
11.25,60.48
11.39,60.42
11.4,59.98
11.38,59.71
11.63,59.57
11.62,60.05
11.78,60.47
11.9,59.55
9.456,60.56
10.15,61.02
10.16,60.53
10.27,61.35
10.32,61.35
10.38,61.17
10.39,60.81
10.35,60.96
10.48,60.5
10.46,60.62
10.47,61.46
10.49,61.14
10.52,60.88
10.51,61.13
10.48,61.48
10.58,61.22
10.63,61.14
10.61,60.96
10.61,61.15
10.58,60.98
10.66,61.41
10.67,60.79
10.68,60.59
10.74,60.54
10.66,61.06
10.7,61.23
10.68,60.98
10.67,61.32
10.65,61.14
10.76,61.21
10.83,60.89
10.84,60.67
10.85,61.02
10.79,60.85
10.83,60.67
10.91,61.09
10.87,61
10.93,61.29
10.95,60.76
10.86,60.88
10.87,61.21
10.98,60.89
11.02,61.06
10.95,60.92
10.99,61.45
10.96,60.85
11.03,61.14
10.97,61.26
11.03,61.35
11.03,60.66
10.97,61.41
10.96,61.24
11.04,61.33
11.14,61.21
11.05,60.92
11.07,61.19
11.15,60.64
11.1,60.82
11.08,60.66
11.06,61.3
11.06,61.2
11.13,60.72
11.06,60.9
11.08,60.59
11.09,60.62
11.23,60.79
11.22,61.13
11.19,61.46
11.16,61.08
11.18,61.36
11.23,60.88
11.16,60.9
11.33,60.85
11.26,60.55
11.31,61.15
11.28,61.26
11.33,61.12
11.39,61.21
11.38,60.6
11.35,60.59
11.38,60.84
11.51,60.71
11.46,61.03
11.5,60.64
11.5,61.01
11.45,61.02
11.57,60.64
11.65,61.1
11.71,60.65
11.86,61.45
9.826,62.24
9.907,61.57
10.03,62.4
10.01,62.17
10.25,62.45
10.28,62.14
10.28,61.58
10.4,62.04
10.39,62.16
10.4,62.34
10.55,61.86
10.48,62.11
10.54,61.7
10.5,62.35
10.55,62.28
10.54,61.73
10.57,62.48
10.63,62
10.64,62.2
10.55,62.28
10.64,62.25
10.61,61.89
10.62,61.71
10.61,62.39
10.59,62.23
10.73,61.86
10.71,61.89
10.68,62.33
10.69,61.99
10.68,61.92
10.72,62.49
10.69,62.21
10.7,61.76
10.69,62.22
10.7,62.09
10.74,62.28
10.7,62.25
10.7,62.01
10.72,62.5
10.78,62.48
10.79,62.01
10.83,62.4
10.76,61.65
10.84,62.33
10.85,61.77
10.8,62.33
10.8,61.77
