"age","net","gun","sex","year","previous","nruns"
43,64.93,64.93,"F",2005,2,3
21,85.47,89.27,"F",2004,0,3
57,NA,98.12,"M",2007,1,3
46,85.1,86.35,"M",2004,5,6
61,112.2,113.8,"F",2006,1,3
34,74.7,79.02,"M",2002,0,3
38,86.58,87.47,"M",2003,2,3
48,95.38,101.7,"F",2003,0,5
44,NA,82.08,"M",2008,3,4
29,131.6,137.2,"F",2002,1,5
40,66.42,66.97,"M",2003,2,4
27,87.98,93.88,"M",2001,0,4
31,79.23,79.93,"F",2000,1,4
25,89.18,90.58,"F",2005,0,3
54,96.17,101.8,"M",2004,2,3
40,67.08,67.2,"M",2003,2,7
28,89.8,94.05,"F",2006,0,3
43,96.1,98.18,"F",2005,2,3
29,NA,83.95,"F",2007,2,3
26,109.9,113.5,"F",2006,1,4
28,124.8,128.6,"M",2002,0,3
56,97.22,101.2,"M",2006,0,3
26,111.2,114.4,"F",2004,1,4
46,95.02,95.83,"M",2003,0,3
54,68.58,69.02,"M",2006,5,6
46,73.7,74.15,"M",2002,1,6
49,112.5,121.6,"F",2006,0,3
49,74.83,75.72,"M",2006,3,6
50,NA,108.7,"M",2007,5,7
40,95.05,99.53,"F",2001,0,3
31,84.22,87.82,"M",2003,1,7
30,98.63,102.4,"F",2004,1,4
50,NA,83.53,"M",2008,3,4
61,NA,78.58,"M",2008,2,3
38,97.32,100.9,"F",2003,2,5
50,86.02,87.37,"F",2005,5,9
39,NA,87.38,"F",1999,0,3
73,94.33,94.52,"M",2000,1,4
23,NA,110.7,"F",2008,2,3
33,92.27,97.85,"F",2004,3,6
55,85.17,86.43,"M",2001,0,3
25,101.3,106,"F",2002,0,3
35,70.33,70.75,"M",2000,0,3
30,100.2,103.9,"F",2005,1,3
28,100.1,106.3,"F",2004,1,3
26,NA,71.22,"F",2007,1,3
58,96.22,97.22,"M",2005,5,7
38,88.02,89.58,"F",2005,2,4
44,74.08,74.62,"M",2004,4,6
30,92.48,98.93,"M",2006,1,3
32,93.9,95.9,"F",2000,1,7
62,NA,85.68,"M",2007,5,7
25,NA,80.12,"M",2007,2,4
60,69.92,69.93,"M",2006,1,3
36,81.38,86.2,"M",2005,3,4
53,93.13,97.6,"M",2003,1,3
48,106.7,106.7,"F",2001,2,7
28,90.55,93.2,"F",2005,1,3
34,NA,80.32,"M",2007,2,3
28,NA,87.3,"F",2008,4,5
44,78.6,79.57,"M",2003,0,3
37,NA,50.27,"M",2007,5,6
53,NA,76.8,"M",1999,0,6
32,NA,101.4,"F",2008,3,4
50,93.42,97.27,"M",2001,0,5
25,86.98,88.52,"M",2006,2,4
52,86.08,92.15,"M",2006,2,4
48,NA,103,"M",2008,3,4
44,NA,77.42,"M",1999,0,4
34,68.4,68.88,"F",2002,0,3
33,NA,82.23,"M",2007,4,5
40,113.2,119.3,"F",2001,0,4
33,92.65,96.78,"M",2000,1,7
59,NA,106.3,"M",2008,5,6
41,81.83,84.7,"F",2001,1,5
57,78.02,78.68,"M",2005,3,5
63,127.5,129.4,"M",2006,2,4
27,97.48,103.3,"M",2003,1,3
56,NA,79.72,"F",2007,4,6
43,80.18,80.72,"M",2001,2,8
49,NA,74.35,"M",1999,0,3
53,NA,83.15,"M",2008,2,3
44,112.9,117.3,"F",2004,2,4
35,93.45,96.1,"M",2006,2,4
44,72.57,73.88,"M",2006,5,7
27,NA,103.2,"F",1999,0,7
62,84.87,85.93,"M",2001,1,4
30,70.47,71.23,"M",2002,1,3
43,NA,90.82,"M",2008,2,3
40,104.6,109,"M",2001,1,3
38,NA,96.72,"M",2008,2,3
26,86.62,92.68,"M",2005,0,4
32,84.37,86.9,"M",2002,0,3
32,98.82,104.2,"F",2003,1,4
26,93.45,95.27,"M",2006,0,3
55,95.65,100.9,"M",2002,1,3
29,80.08,81.42,"F",2005,2,4
52,84.5,88.73,"M",2003,1,3
51,91.6,94.57,"M",2004,4,7
32,86.95,87.9,"F",2004,0,3
52,103.3,106.9,"F",2005,2,6
34,108.5,115.5,"M",2005,2,3
48,NA,94.68,"F",2007,2,3
51,81.78,82.67,"M",2000,0,5
32,82.38,83.45,"F",2002,0,3
50,97.03,104.2,"M",2005,0,3
48,82.55,84.27,"M",2001,2,5
55,NA,111.6,"M",1999,0,3
51,NA,90.27,"F",1999,0,5
35,82.78,84.35,"M",2006,0,3
40,99.93,105.1,"M",2004,1,3
31,92.62,94.9,"F",2002,0,5
40,83.15,84.75,"M",2006,4,6
44,78.22,78.72,"F",2003,3,6
31,91.82,93.22,"F",2003,1,3
27,79.32,85.93,"M",2003,0,5
37,NA,89.82,"M",2008,3,4
50,88.2,88.45,"M",2002,1,4
36,69.6,70.12,"M",2005,3,6
32,108.2,114.8,"M",2002,0,4
55,86.47,89.3,"M",2005,0,3
38,99.4,108.9,"M",2001,0,5
41,95.97,103.3,"F",2004,0,4
66,NA,96.82,"M",2008,7,8
38,NA,71.45,"M",2008,7,8
41,NA,69.35,"F",2008,3,4
51,95.83,102.9,"M",2004,0,4
33,86.2,87.75,"F",2005,1,4
31,56.92,56.97,"M",2004,1,4
53,90.5,92.98,"M",2000,0,6
53,83.6,83.68,"M",2003,1,7
54,79.92,81.68,"M",2001,2,6
44,114.5,123,"F",2006,1,4
31,99.27,101.7,"F",2001,2,9
40,79.75,80.73,"M",2002,2,3
54,96.6,99.38,"M",2001,1,6
33,86.57,100.4,"F",2001,1,3
45,88.93,88.93,"M",2005,6,10
41,NA,83.38,"F",1999,0,5
71,82.47,82.57,"M",2001,2,3
27,58.08,58.1,"M",2006,3,5
47,62.92,63.07,"M",2005,1,3
31,98.82,104.6,"F",2002,1,3
31,91.4,95.47,"M",2002,1,3
41,102.1,107.9,"M",2001,1,3
44,108.5,113.2,"F",2000,1,3
43,84.27,89.17,"M",2004,1,5
67,97.85,103.9,"M",2003,4,7
45,NA,90.25,"F",2008,2,3
29,82.95,83.85,"F",2005,3,7
29,75.12,75.87,"M",2002,0,3
29,NA,75.23,"M",2008,1,3
30,NA,110.1,"F",2008,2,3
32,111.2,119.2,"M",2006,0,3
21,NA,98.68,"F",2008,2,3
48,NA,84.33,"F",1999,0,3
57,114.5,124,"F",2006,1,4
43,66.58,66.85,"M",2004,3,7
39,99,103,"M",2001,1,4
31,NA,102.2,"F",2007,2,3
59,80.93,82.67,"M",2004,3,7
27,86.83,89.98,"M",2001,1,5
26,NA,92.63,"F",2007,2,3
28,105.9,110.5,"F",2002,0,3
40,62.55,62.67,"M",2003,1,3
47,NA,76.43,"M",2007,6,7
35,107.9,109.5,"F",2001,0,3
50,70.7,70.93,"M",2003,4,8
56,82.02,83.02,"M",2005,4,7
34,NA,88.93,"M",1999,0,7
40,NA,77,"M",2008,7,8
60,113.5,114.8,"F",2003,2,3
52,75.57,76.47,"M",2004,0,5
52,NA,94.57,"M",1999,0,4
36,93.45,95.13,"F",2003,2,4
31,NA,92.87,"F",2007,1,3
34,78.62,79.47,"M",2002,0,5
47,124,127.9,"F",2004,2,4
46,65.42,65.55,"M",2004,2,5
48,NA,104.9,"M",1999,0,4
45,NA,97.22,"M",2008,5,6
34,91.4,97.32,"M",2002,0,3
61,NA,116.5,"M",2008,4,5
47,NA,95.58,"M",1999,0,4
41,95.8,103.1,"M",2005,2,3
49,93.53,95.12,"F",2003,2,3
37,79.2,80.53,"F",2000,1,4
25,88.98,91.23,"F",2003,1,3
49,NA,104.5,"M",1999,0,4
28,76.1,77.55,"M",2005,0,3
36,71.08,71.58,"M",2004,2,3
33,87.63,90.75,"F",2003,3,6
35,89.48,92.58,"F",2000,0,4
35,NA,107.2,"M",2007,3,5
39,71.82,72.3,"M",2002,2,5
27,89.95,91.55,"F",2000,1,3
31,99.32,102.9,"F",2006,2,3
42,79.97,80.57,"F",2002,0,3
37,NA,62.88,"M",2008,4,5
25,83.35,84.53,"F",2005,2,4
43,108.4,112.5,"F",2000,1,3
40,70.15,70.7,"M",2001,1,7
31,NA,83.83,"M",2007,1,3
53,89.72,93.65,"F",2005,2,3
36,105.4,107.2,"F",2000,0,3
58,86.45,86.93,"M",2001,2,5
53,105.6,108.2,"M",2003,3,4
23,107.8,109.7,"F",2005,2,3
48,NA,66.68,"M",2007,5,7
47,113.6,114.6,"F",2005,2,5
28,107.6,116.7,"F",2006,2,3
43,68.42,68.73,"F",2005,1,4
42,73.42,76.47,"M",2005,1,3
35,98.67,103,"M",2003,2,3
31,97.28,98.97,"F",2002,3,4
41,NA,69.57,"M",1999,0,3
47,95.27,98.2,"M",2002,0,5
56,80.22,81.73,"M",2004,2,3
32,80.9,82.5,"M",2002,0,3
45,70.83,71.25,"M",2001,1,5
45,76.2,76.67,"M",2001,2,4
42,NA,90.45,"F",2007,3,4
29,70.92,71.17,"M",2002,1,3
44,94.42,103.4,"F",2001,2,4
24,82.5,84.12,"F",2001,0,4
33,104.3,108,"F",2000,0,3
45,129,136.4,"F",2004,2,3
25,98.7,105,"F",2006,0,3
33,75.85,77.93,"F",2003,1,3
43,93.52,102.3,"F",2006,0,3
44,87,90.92,"M",2000,0,6
54,109,113.5,"F",2003,1,3
49,82.97,83.47,"M",2004,2,3
33,90.02,91.82,"M",2003,0,3
55,74.33,74.72,"M",2000,0,8
34,79.53,84.72,"M",2005,3,5
32,70.55,71.18,"M",2000,0,4
40,70.77,71.22,"M",2005,2,4
30,100.4,103.5,"M",2003,0,4
39,101.1,101.1,"F",2002,1,4
34,102.5,105.2,"F",2004,5,9
