Last,First,HOF,From,To,Position,Ht,Wt,Month,Day,Year,Country
Hyland,Harry,Y,1918,1918,F,66,156,January,2,1889,Canada
Ross,Art,Y,1918,1918,D,71,190,January,13,1886,Canada
Shore,Hamby,N,1918,1918,D,73,175,February,12,1886,Canada
Thompson,Ken,N,1918,1918,F,70,160,May,29,1881,England
Laviolette,Jack,Y,1918,1918,D,71,170,July,27,1879,Canada
Skilton,Raymie,N,1918,1918,D,70,190,September,26,1889,USA
Payer,Evariste,N,1918,1918,F,66,150,December,12,1887,Canada
O'Grady,George,N,1918,1918,D,68,175,NA,NA,NA,Canada
Brooks,Art,N,1918,1918,G,NA,NA,NA,NA,1892,Canada
Hall,Joe,Y,1918,1919,D,70,175,May,3,1882,England
Lindsay,Bert,N,1918,1919,G,67,160,July,23,1881,Canada
Crawford,Rusty,Y,1918,1919,F,71,165,November,7,1885,Canada
Marks,Jack,N,1918,1920,F,73,180,June,11,1885,Canada
Merrill,Horace,N,1918,1920,D,69,176,November,30,1885,Canada
Coughlin, John ,N,1918,1921,F,70,170,June,6,1892,Canada
Lowrey,Ed,N,1918,1921,F,66,160,August,13,1891,Canada
McDonald,Jack,N,1918,1922,F,NA,NA,February,28,1887,Canada
Bruce,Morley,N,1918,1922,D,69,170,March,7,1894,Canada
Cameron,Harry,Y,1918,1923,D,70,155,February,6,1890,Canada
Gerard,Eddie,Y,1918,1923,F,69,168,February,22,1890,Canada
Mummery,Harry,N,1918,1923,D,71,220,August,25,1889,USA
Pitre,Didier,Y,1918,1923,F,71,185,September,1,1883,Canada
Malone,Joe,Y,1918,1924,F,70,150,February,28,1890,Canada
Hebert,Sammy,N,1918,1924,G,70,145,March,31,1894,Canada
Bell,Billy,N,1918,1924,F,70,180,June,10,1891,Canada
Darragh,Jack,Y,1918,1924,F,70,168,December,4,1890,Canada
Ritchie,Dave,N,1918,1926,D,67,180,January,12,1892,Canada
Vezina,Georges,Y,1918,1926,G,66,185,January,21,1887,Canada
Skinner,Alf,N,1918,1926,F,70,180,January,26,1896,Canada
Stevens,Phil,N,1918,1926,F,71,165,February,15,1893,Canada
Geran,Gerry,N,1918,1926,F,69,180,August,3,1896,USA
Berlinquette,Louis,N,1918,1926,F,71,175,NA,NA,NA,Canada
Corbeau,Bert,N,1918,1927,D,71,200,February,9,1894,Canada
Coutu,Billy,N,1918,1927,D,71,190,March,1,1892,Canada
Adams,Jack,Y,1918,1927,F,69,175,June,14,1895,Canada
Lalonde,Newsy,Y,1918,1927,F,69,168,October,31,1888,Canada
Meeking,Harry,N,1918,1927,F,67,160,November,4,1894,Canada
Randall,Ken,N,1918,1927,F,70,180,December,14,1888,USA
Denneny, Corbett ,N,1918,1928,F,68,160,January,25,1894,Canada
Holmes,Harry,Y,1918,1928,G,70,170,February,21,1892,Canada
Denneny,Cy,Y,1918,1929,F,67,168,December,23,1891,Canada
Nighbor,Frank,Y,1918,1930,F,69,160,January,26,1893,Canada
Benedict,Clint,Y,1918,1930,G,NA,NA,September,26,1892,Canada
Boucher,Georges,Y,1918,1932,D,69,169,August,19,1896,Canada
Noble,Reg,Y,1918,1933,F,68,180,June,23,1896,Canada
Ronan,Skene,N,1919,1919,D,66,150,February,9,1889,Canada
Jacobs,Paul,N,1919,1919,D,68,160,March,9,1894,Canada
Doherty,Fred,N,1919,1919,F,68,160,August,15,1887,Canada
Arbour,Amos,N,1919,1924,F,68,160,January,26,1895,Canada
Cleghorn,Sprague,Y,1919,1928,D,70,190,March,11,1890,Canada
Cleghorn,Odie,N,1919,1928,F,69,195,September,19,1891,Canada
Broadbent,Punch,Y,1919,1929,F,67,183,July,13,1892,Canada
Heffernan,Frank,N,1920,1920,D,73,210,January,12,1892,Canada
McNaughton,George,N,1920,1920,F,69,150,April,4,1897,Canada
Smith,Don,N,1920,1920,F,67,160,June,3,1888,Canada
McNamara,Howard,N,1920,1920,D,73,240,August,3,1893,Canada
Wellington,Alex,N,1920,1920,F,NA,NA,August,4,1893,Canada
Brophy,Frank,N,1920,1920,G,66,150,August,9,1900,Canada
Smith,Tommy,Y,1920,1920,F,66,150,September,27,1886,Canada
McLean,Fred,N,1920,1921,D,74,200,March,16,1893,Canada
MacKell,Jack,N,1920,1921,F,67,150,April,12,1896,Canada
Carpenter,Eddie,N,1920,1921,D,73,170,June,15,1890,USA
McCarthy,Thomas,N,1920,1921,F,71,165,NA,NA,NA,Canada
Mitchell,Ivan,N,1920,1922,G,NA,NA,NA,NA,NA,Canada
Carey,George,N,1920,1924,F,66,140,NA,NA,NA,Canada
Lockhart,Howard,N,1920,1925,G,68,180,March,21,1895,Canada
Prodger,Goldie,N,1920,1925,F,70,180,October,18,1891,Canada
Matte,Joe,N,1920,1926,D,71,165,March,6,1893,Canada
Roach,Mickey,N,1920,1927,F,66,158,May,1,1895,USA
Wilson,Cully,N,1920,1927,F,68,180,June,5,1892,Canada
Dye,Babe,Y,1920,1931,F,68,150,May,13,1898,Canada
Forbes,Vernon,N,1920,1933,G,66,140,July,4,1897,Canada
Campbell,Dave,N,1921,1921,D,73,200,April,27,1896,Canada
Pletsch,Charles,N,1921,1921,D,NA,NA,July,22,1893,Canada
McDonnell,Moylan,N,1921,1921,D,69,145,August,27,1889,Canada
Smylie,Rod,N,1921,1926,F,70,170,September,28,1895,Canada
Graham,Leth,N,1921,1926,F,69,150,NA,NA,NA,Canada
Stuart,Billy,N,1921,1927,D,71,190,February,1,1900,Canada
Reise,Leo,N,1921,1930,D,71,175,June,1,1892,Canada
Stackhouse,Ted,N,1922,1922,D,73,200,November,2,1894,Canada
Nolan,Paddy,N,1922,1922,F,68,170,December,1,1897,Canada
Smith,Glenn,N,1922,1922,D,68,180,NA,NA,NA,Canada
Andrews,Lloyd,N,1922,1925,F,NA,NA,November,4,1899,Canada
Jackson,Stan,N,1922,1927,F,73,180,August,27,1898,Canada
Boucher,Billy,N,1922,1928,F,67,155,November,10,1899,Canada
Bouchard,Edmond,N,1922,1929,F,70,185,May,24,1892,Canada
Roach,John Ross,N,1922,1935,G,65,130,June,23,1900,Canada
Clancy,King,Y,1922,1937,D,67,155,February,25,1903,Canada
Boucher,Frank,Y,1922,1944,F,69,185,October,7,1901,Canada
Denoird,Gerry,N,1923,1923,F,70,170,August,4,1902,Canada
Fortier, Charles ,N,1923,1924,NA,NA,NA,NA,NA,NA,Canada
Scott,Ganton,N,1923,1925,F,69,165,March,23,1903,Canada
Helman,Harry,N,1923,1925,F,66,145,August,28,1894,Canada
Burch,Billy,Y,1923,1933,F,73,200,November,20,1900,USA
Hitchman,Lionel,N,1923,1934,D,73,167,November,3,1901,Canada
Joliat,Aurel,Y,1923,1938,F,67,136,August,29,1901,Canada
Boucher,Bobby,N,1924,1924,F,68,142,February,14,1904,Canada
Loughlin,Wilf,N,1924,1924,D,74,200,February,28,1896,Canada
Fraser,Charles/Jack,N,1924,1924,D,NA,NA,July,22,1897,Canada
Campbell,Earl,N,1924,1926,D,71,166,July,23,1900,Canada
Cameron,Billy,N,1924,1926,F,71,160,December,5,1896,Canada
Green,Wilfred,Y,1924,1927,F,70,152,July,17,1896,Canada
Holway,Albert,N,1924,1929,D,74,190,September,24,1902,Canada
Green,Red,N,1924,1929,F,68,148,December,12,1899,Canada
Spring,Jesse,N,1924,1930,D,73,185,January,18,1901,USA
Speyer,Chris,N,1924,1934,D,70,170,February,6,1907,Canada
Mantha,Sylvio,Y,1924,1937,D,70,178,April,14,1902,Canada
Morenz,Howie,Y,1924,1937,F,69,165,June,21,1902,Canada
Finnigan,Frank,N,1924,1937,F,69,165,July,9,1903,Canada
Headley,Fern,N,1925,1925,D,71,175,March,2,1901,USA
Cook,Lloyd,N,1925,1925,D,73,170,March,21,1890,Canada
