FishID,Length,Weight
4394,72,4.349
3302,54,1.916
4780,61,2.592
13184,58,2.115
6,73,4.118
13321,93,9.469
4278,69,3.737
4520,56,1.922
3851,67,3.289
3912,75,4.779
13424,57,2.244
4068,77,4.826
3443,86,7.993
3983,73,4.473
4826,59,2.575
3387,65,2.985
4563,63,2.855
4085,60,2.459
1178,75,4.56
188,69,3.769
3184,55,1.84
3854,82,6.018
13396,62,2.587
4264,59,2.367
4949,74,4.467
4013,72,4.126
3842,82,6.887
4837,63,2.862
3610,61,2.743
4355,63,2.871
3982,72,4.098
1314,69,3.2
4531,60,2.302
5007,68,3.736
4042,80,5.449
3257,77,5.083
4122,60,2.586
81,83,6.493
1346,72,4.03
4220,61,2.454
13191,77,5.455
203,74,4.617
3385,75,4.723
4959,70,3.844
3892,74,4.505
3674,67,3.305
4973,78,5.072
4814,64,3.352
3759,62,2.545
4535,50,1.651
4818,69,3.799
4585,70,3.96
13432,57,2.199
4453,80,5.364
4100,62,2.858
3895,73,4.358
5,76,4.519
75,73,4.146
1289,69,3.45
13394,67,2.947
13333,76,4.802
66,73,4.006
3881,68,3.45
1329,78,5.17
13086,82,6.026
3703,62,2.651
3203,55,2.173
1150,67,3.07
4150,61,2.558
13407,85,6.107
4208,67,4.058
4215,87,7.345
4603,61,2.782
1266,57,2
3474,59,2.462
1225,72,4.32
13186,60,2.335
4050,65,3.202
3685,79,5.638
13316,78,5.202
4170,61,2.285
4598,72,4.475
4513,73,3.442
4510,68,3.376
13318,88,8.158
4139,70,3.642
3697,85,7.229
4336,71,3.696
3449,81,6.592
137,62,2.281
13175,60,2.334
3977,79,5.646
3421,80,5.42
4325,66,3.008
4347,70,3.744
13156,80,5.309
1221,57,2.3
4982,72,3.753
4301,58,2.684
3167,63,3.129
3788,92,8.145
4481,70,3.694
3700,63,2.639
3782,76,5.422
4342,62,2.768
4321,60,2.555
13082,88,7.487
1340,72,4
13070,84,6.375
1219,57,1.95
3350,66,3.682
4233,47,1.13
4098,82,6.841
3779,74,4.48
1368,56,1.63
4249,71,3.893
3924,69,3.892
1164,71,3.6
3745,96,9.818
4435,62,2.695
3975,72,4.481
4558,74,3.927
197,71,4.3
3750,67,3.201
3469,61,2.717
61,71,3.965
4813,65,3.159
1242,65,3.05
3570,77,5.366
4781,62,3.096
4579,58,2.053
1385,80,5.81
3204,73,4.381
3831,88,8.199
4037,71,4.008
1334,64,2.83
4207,70,4.318
4819,70,4.267
13165,75,4.736
4160,81,6.05
4369,63,2.941
1342,78,4.49
129,79,5.618
4197,54,1.91
4798,68,3.672
37,60,2.384
3313,93,9.756
4308,71,4.104
13347,62,2.715
3986,71,3.938
169,85,7.765
4575,57,2.116
4026,74,4.747
3903,69,3.745
1360,69,3.56
1335,68,3.29
3807,72,4.036
3747,61,2.482
3902,69,3.582
119,59,2.531
49,78,5.442
143,74,4.179
3234,96,9.302
4386,68,3.378
4624,64,3.069
178,79,6.295
4280,65,3.17
5000,70,3.936
4286,63,2.571
4196,46,1.093
3852,87,7.588
1343,69,3.44
4538,50,1.522
3968,80,5.59
4329,65,3.294
4849,57,2.193
3825,78,5.153
4334,63,2.711
3829,66,3.484
51,66,3.344
4162,50,1.479
4371,65,3.07
69,72,3.903
4303,68,3.869
1277,79,4.94
1345,73,3.72
1232,57,1.89
13071,63,2.363
13350,63,2.546
4383,73,4.479
3934,78,5.614
3329,55,1.972
4619,63,2.618
4802,61,2.128
13185,61,2.463
4856,64,2.549
39,63,2.504
3590,60,2.539
4794,69,3.48
14,88,6.746
4000,67,3.508
1255,76,4.23
3684,71,3.906
4144,81,6.233
4054,77,4.723
4414,65,3.037
4783,68,3.509
3265,73,4.625
5001,68,3.144
4038,74,4.201
4216,61,2.555
3248,71,3.783
3440,75,4.373
3883,62,2.872
4846,64,2.915
3744,65,2.994
3169,64,2.877
13326,88,7.063
3393,98,10.949
1268,74,4.09
26,72,3.757
3814,81,5.045
3942,75,5.336
4021,80,5.605
3988,68,3.502
4065,60,2.497
3375,84,7.174
1172,68,3.53
4034,74,4.448
4597,67,3.427
3980,70,3.848
4275,56,2.1
4543,63,2.515
3791,86,7.52
1227,84,6.49
196,71,4.138
1223,71,3.91
3765,66,3.17
3376,61,2.642
4546,69,3.616
1375,72,4.03
4832,71,4.091
3321,79,6.032
4859,65,3.073
3391,58,2.328
3973,76,4.936
3713,85,6.907
126,75,4.979
3936,81,6.538
13327,76,4.769
3887,61,2.448
1234,66,2.91
3291,62,2.453
3429,73,3.999
3182,60,2.586
3950,79,5.627
3905,67,3.335
3705,78,5.363
4231,54,1.617
4972,74,4.668
180,67,3.861
3163,64,2.933
1176,73,4.141
1373,78,4.82
4061,69,3.431
4533,53,1.812
163,79,5.288
1311,67,2.96
4304,66,3.275
4205,66,3.972
3900,62,3.436
4440,79,5.768
3582,80,5.722
4839,56,2.176
4971,65,3.087
3445,72,4.54
3894,85,6.556
3395,66,3.8
4372,69,4.141
4248,71,4.012
3992,78,5.37
3776,63,2.859
4512,78,4.906
47,59,2.13
4377,61,2.959
1328,67,3.11
4457,77,5.305
3994,68,3.672
3833,70,3.949
3416,59,2.283
4436,88,6.584
4471,63,2.763
4043,72,4.508
1175,63,2.66
4965,69,3.641
4047,74,4.343
154,72,3.925
4323,62,2.781
3658,89,9.122
3943,85,7.411
3795,75,4.33
13324,93,9.929
4522,57,1.859
4858,63,2.71
4549,65,3.024
3899,73,4.207
1341,77,4.2
4796,63,2.536
4488,72,3.689
4175,60,2.27
3753,60,2.191
4339,74,5.086
200,66,3.487
4501,59,1.879
3230,73,4.132
1203,57,1.88
4424,57,2.058
3801,75,4.655
13166,87,7.286
3206,64,2.935
13340,56,2.098
3493,64,3.019
4300,75,4.69
3850,80,5.886
1261,62,2.62
3871,65,2.974
13410,81,5.375
1210,76,4.18
13075,82,5.708
4800,59,2.081
1168,61,2.44
4614,65,3.109
4553,74,4.215
3357,62,2.734
3259,47,1.467
4354,63,2.856
4547,69,3.61
3263,67,3.827
4985,68,3.11
146,70,3.562
1204,73,4.41
4810,51,1.573
4338,71,4.222
3764,60,2.279
4381,65,3.157
4981,65,2.775
3849,65,3.041
113,84,6.62
13405,62,2.363
4127,80,5.986
4857,63,2.728
3315,97,10.998
4209,47,1.234
3945,72,4.503
3996,73,4.541
191,74,4.695
3161,66,3.243
3681,66,3.215
1167,50,1.24
4402,68,3.614
3798,66,3.205
3266,59,2.535
3314,67,3.672
3877,60,2.629
4132,60,2.48
13399,67,3.249
3672,68,3.602
4511,84,6.071
4461,91,9.246
3332,72,4.095
3939,67,3.604
130,75,4.197
3876,62,2.516
4062,80,5.713
13177,78,5.36
4428,81,5.414
4827,71,4.099
13162,68,3.667
3237,54,1.821
158,84,5.468
3382,61,2.589
4576,77,5.155
55,73,4.12
4198,53,1.97
96,81,5.713
4281,68,3.921
3772,78,5.264
144,74,3.936
3888,60,2.506
3196,64,2.761
1259,64,2.83
4359,75,5.107
13352,59,2.248
3960,75,4.895
4956,68,3.763
1350,69,3.36
3865,66,3.154
3363,72,4.901
3873,64,3.106
3728,63,2.861
3967,66,3.24
13420,64,2.758
33,76,4.581
13174,73,4.263
1302,65,3.13
4118,61,2.428
3789,79,5.38
4855,63,2.843
4820,66,3.497
1298,73,4.706
4951,65,3.144
3752,62,2.673
1265,59,2.06
4605,60,2.604
4444,56,2.239
3359,69,3.516
3608,62,2.579
4293,64,2.958
4470,71,4.269
1174,81,6.1
3725,63,2.714
13317,89,8.087
4096,60,2.875
4590,69,3.606
112,71,4.159
4161,56,1.953
3717,69,3.452
4806,65,2.926
4847,57,2.729
4244,63,2.922
1253,69,3.665
1291,64,2.7
3176,76,4.484
4285,66,3.482
4497,74,4.282
4029,72,4.445
4235,61,2.473
57,81,5.704
4557,55,1.959
4588,72,4.346
4239,59,2.406
3816,80,5.802
1348,64,2.69
3856,74,4.389
4296,70,3.772
3472,59,2.4
105,76,4.585
4467,57,1.741
20,71,3.727
4523,60,1.969
3328,75,4.633
3571,71,3.93
111,77,4.786
1246,70,4.05
4044,72,4.107
127,60,2.602
70,70,3.766
3665,88,7.834
4356,66,3.162
4964,67,2.978
13331,86,7.502
3959,65,3.291
4842,73,4.313
3701,81,5.781
1188,76,4.66
3216,60,2.638
4835,56,2.254
13188,60,2.299
13337,90,7.916
3267,74,4.837
4241,56,1.99
4804,67,3.252
3773,76,4.739
3282,59,2.624
99,71,3.994
1228,66,3.47
3933,73,4.552
3254,75,4.545
3652,68,3.735
4398,75,4.615
4400,62,2.723
4548,58,2.052
4405,68,3.521
3944,70,3.775
4226,58,1.984
4977,64,2.936
4079,62,2.61
3732,80,5.208
3688,66,3.505
3432,70,3.856
7,68,3.64
3981,76,5.229
4431,75,4.84
3861,91,8.549
1349,77,5.05
4121,60,2.564
157,72,3.648
15,76,4.789
3907,75,4.78
3372,82,6.751
4476,68,3.633
4060,65,2.836
72,74,4.036
3446,65,3.183
98,82,5.904
4411,70,3.991
4017,73,4.685
3958,65,3.206
3307,61,2.6
3828,75,4.87
1319,74,4.7
1154,75,4.32
1,72,3.979
3389,62,3.031
13415,72,3.847
3384,63,2.837
4805,62,2.579
4053,80,5.276
168,80,5.587
3576,58,2.535
3718,63,2.808
3830,78,5.181
3661,79,5.944
3915,65,2.994
2,76,4.48
3589,59,2.497
1295,78,4.93
4413,70,3.877
1281,58,1.94
165,80,5.144
13176,97,10.031
3340,87,8.035
4267,75,4.508
4791,63,2.875
3475,61,2.396
4823,60,2.64
3682,68,3.258
3453,83,6.285
4974,77,5.522
4552,73,5.03
3823,73,4.391
50,81,6.067
4811,65,3.16
3969,72,4.173
3190,83,6.29
3594,71,3.879
4,52,2.314
3226,61,2.502
4103,73,4.725
3414,64,3.156
4621,63,2.994
13341,59,2.581
4527,58,1.874
1387,73,3.89
13397,76,4.935
3670,80,5.968
90,58,2.095
3297,56,1.862
3586,82,5.924
4299,60,2.69
1233,68,3.12
3964,68,3.819
4824,66,3.08
3720,61,2.599
4193,56,2.21
1247,71,3.73
3482,61,2.45
4612,65,3.337
35,53,1.732
13353,60,2.346
4941,71,4.125
1196,73,5.4
3400,64,3.011
4031,70,4.212
5012,58,1.861
3490,89,8.127
3262,75,5.146
4485,68,3.273
1189,74,4.12
132,71,3.656
3696,73,4.596
142,72,3.881
3920,75,4.609
136,81,6.075
3916,77,5.177
3727,67,3.362
4484,66,3.136
3459,80,5.644
3301,77,4.862
4479,72,3.675
4177,61,2.486
4183,52,1.468
4097,75,4.855
1230,65,2.87
3599,59,2.087
5008,71,3.826
4351,74,4.261
4011,65,3.17
4182,50,1.274
13408,71,3.83
4071,76,4.588
1267,55,1.71
4348,68,3.505
71,71,4.251
4058,72,4.137
4967,68,3.784
4313,61,2.63
4117,61,2.633
3290,60,2.591
4279,73,4.726
3428,55,2.019
3597,60,2.199
3751,63,2.594
4998,64,2.71
1177,69,3.99
3972,83,6.115
4145,54,1.723
4010,73,4.11
4445,63,2.907
4166,58,1.974
3331,105,13.164
4099,68,3.418
1194,74,4.21
4556,69,3.945
3457,76,5.33
3954,68,3.672
4788,66,3.178
4078,76,4.461
1254,71,3.71
3492,70,3.627
3946,78,5.483
4297,68,4.2
1257,61,2.36
4124,61,2.697
4578,76,4.84
3891,74,4.353
3415,58,2.359
4954,63,2.445
4002,72,4.255
1191,70,3.7
4032,80,5.646
4506,79,4.985
95,88,7.477
4449,77,4.915
3870,72,4.009
3426,83,6.942
4462,63,2.826
3454,101,10.578
4442,61,2.785
3218,60,2.635
1313,69,3.15
4524,60,2.152
3598,64,2.75
4604,77,5.235
4388,70,3.741
4333,64,3.369
3324,93,9.826
1244,61,2.6
3999,71,4.33
4502,57,1.905
1148,76,3.86
3596,57,1.941
139,77,4.76
13411,66,2.97
3232,67,2.879
4133,59,2.461
3984,75,4.963
4236,53,1.556
13332,73,3.986
3327,66,3.175
3231,81,6.025
3488,76,4.942
29,72,4.177
4825,66,3.343
13313,85,6.94
4625,69,3.514
123,64,2.542
4504,75,3.833
1152,72,3.95
3165,78,6.756
3821,80,5.474
60,78,5.22
3699,68,3.185
78,74,5.05
133,66,3.492
4509,78,4.65
4087,58,2.157
145,72,3.219
3689,85,7.227
3869,70,3.744
4465,65,2.631
4615,62,2.695
4362,70,3.811
4001,68,3.514
3820,74,4.784
3258,58,2.376
41,83,6.003
1263,75,4.35
4448,75,5.013
4358,70,3.838
3465,71,4.028
159,88,7.039
4353,69,3.674
4434,69,3.711
3966,75,5.177
58,80,5.517
1205,76,4.61
4446,77,5.256
3840,74,4.441
167,77,4.815
4173,52,1.592
4272,64,2.932
3233,59,2.331
3824,97,10.458
4112,73,3.921
3278,60,2.704
67,59,2.31
1353,80,4.96
3769,95,10.225
1310,65,3.1
138,81,5.257
13429,60,2.301
4555,66,3.275
4790,61,2.583
198,78,5.508
1374,61,2.38
3450,76,5.444
3677,92,8.607
4335,69,3.929
4430,64,2.628
3386,79,5.93
13155,96,10.921
4580,68,3.738
3253,62,2.579
18,81,5.977
4518,77,4.316
1315,74,4.02
3461,86,7.427
184,72,4.342
3592,59,2.459
4447,71,4.03
13400,74,4.83
3997,83,6.85
3247,53,1.638
4366,65,3.162
4089,60,2.338
4332,65,3.224
3225,60,2.412
4108,58,2.34
3913,68,3.348
3923,66,3.225
185,71,4.204
1351,72,4.14
1231,58,2.23
3573,74,4.451
4186,51,1.629
56,75,4.451
3491,94,9.054
3343,104,13.208
4110,70,3.924
1215,70,3.55
3708,67,3.397
3296,56,1.987
3756,60,2.524
4187,52,1.467
4302,72,4.239
3166,88,7.387
4234,48,1.318
4989,61,2.412
13348,59,2.302
4503,71,3.337
3483,90,8.243
13342,67,3.42
1303,67,3.55
103,68,3.206
3318,74,3.794
3918,75,4.74
3181,64,2.912
3417,58,2.479
3976,68,3.885
4176,57,1.989
4792,69,3.596
4125,60,2.491
3397,80,5.66
4999,67,3.134
3846,73,4.782
1238,73,4.78
4969,63,2.82
176,70,4.122
4785,64,2.911
3937,79,6.036
147,60,2.252
1354,67,3.36
3729,63,2.883
141,73,4.305
4483,75,4.297
3734,68,3.213
3848,64,2.886
3333,76,4.77
3775,86,7.079
4055,79,4.995
13320,89,5.392
3467,87,7.767
4179,54,1.641
3763,58,1.996
3812,89,8.322
3250,76,5.008
1240,74,4.32
4140,77,5.026
52,76,4.638
3715,85,7.725
3740,64,2.853
3367,68,3.724
4138,78,4.111
3785,72,3.9
162,75,4.675
193,79,5.851
13160,83,6.936
4252,55,1.692
54,87,7.315
38,60,2.278
3654,88,8.097
1361,76,4.75
89,93,9.398
4492,74,4.319
13423,70,3.459
3413,79,5.415
4222,57,1.893
4416,70,3.854
3749,64,2.802
1220,68,3.46
3205,82,6.102
3844,67,3.223
1173,66,3.09
4848,64,2.825
3202,75,4.79
4202,57,2.478
13416,61,2.438
4573,64,2.975
27,73,3.862
3686,81,6.254
13062,79,5.288
4379,67,3.149
3425,93,10.09
3797,65,2.951
3698,68,3.644
92,81,5.75
4282,82,8.346
5011,62,2.512
3845,63,2.796
4601,65,2.959
3970,74,4.609
4821,67,2.775
3659,65,3.17
3162,85,6.48
4137,58,2.217
3768,65,2.977
3707,61,2.611
3378,56,2.18
3796,64,3.025
3906,71,3.945
4380,63,2.829
4350,65,3.067
3188,55,1.968
1279,77,4.36
1283,73,4.22
3606,69,3.583
4787,67,3.334
4090,60,2.429
3293,59,2.482
1337,73,3.86
3316,58,2.319
3668,71,4.119
4793,69,3.585
