"age","net","gun","sex","year","previous","nruns"
31,85.35,86.88,"M",2005,0,4
32,91.75,92.53,"M",2006,1,4
33,NA,92.4,"M",2007,2,4
34,NA,89.28,"M",2008,3,4
25,67.33,67.48,"M",2001,0,3
26,70.45,70.7,"M",2002,1,3
30,82.37,85.7,"M",2006,2,3
26,73.27,74.73,"M",2001,0,4
27,78.73,83.77,"M",2002,1,4
29,69.32,69.68,"M",2004,2,4
30,67.27,68.33,"M",2005,3,4
25,NA,84.73,"M",1999,0,8
27,74.22,75.08,"M",2001,1,8
28,79.7,80.42,"M",2002,2,8
29,88.9,91,"M",2003,3,8
30,77.87,79.45,"M",2004,4,8
31,90.68,91.63,"M",2005,5,8
32,91.72,96.55,"M",2006,6,8
34,NA,98.77,"M",2008,7,8
31,95.15,100.8,"F",2006,0,3
32,NA,103.8,"F",2007,1,3
33,NA,105.4,"F",2008,2,3
29,112.7,117.8,"M",2003,0,3
31,114.1,120.5,"M",2005,1,3
32,111.8,121.2,"M",2006,2,3
20,91.73,93.57,"F",2003,0,5
21,90.87,91.9,"F",2004,1,5
22,104.2,104.2,"F",2005,2,5
23,95.52,98.7,"F",2006,3,5
24,NA,95.27,"F",2007,4,5
25,79.92,82.22,"F",2000,0,4
27,78.27,81.72,"F",2002,1,4
28,76.57,76.88,"F",2003,2,4
32,NA,83.2,"F",2007,3,4
32,NA,96.52,"M",1999,0,8
33,96.63,101,"M",2000,1,8
34,89.1,92.05,"M",2001,2,8
35,123,129.4,"M",2002,3,8
36,97.68,103.7,"M",2003,4,8
37,100.4,105.9,"M",2004,5,8
39,108.4,117,"M",2006,6,8
41,NA,98.78,"M",2008,7,8
52,100.1,104.2,"M",2001,0,4
53,98.3,104.9,"M",2002,1,4
57,112.2,114.8,"M",2006,2,4
58,NA,71.68,"M",2007,3,4
28,99.83,102.5,"F",2001,0,4
29,98.28,100.3,"F",2002,1,4
33,97.62,100.2,"F",2006,2,4
34,NA,95.98,"F",2007,3,4
37,84.65,85.45,"M",2003,0,6
38,85.15,85.98,"M",2004,1,6
39,78.93,81.72,"M",2005,2,6
40,83.62,84.68,"M",2006,3,6
41,NA,84.23,"M",2007,4,6
42,NA,95.77,"M",2008,5,6
39,81.13,85.65,"M",2001,0,4
40,78.53,81.28,"M",2002,1,4
44,83.47,85.83,"M",2006,2,4
46,NA,81.72,"M",2008,3,4
22,109.3,113.9,"M",2005,0,4
23,112.8,121.6,"M",2006,1,4
24,NA,101.5,"M",2007,2,4
25,NA,107.3,"M",2008,3,4
27,68.78,69.17,"M",2004,0,3
30,NA,64.52,"M",2007,1,3
31,NA,68.92,"M",2008,2,3
25,87.25,94.02,"M",2005,0,4
26,92.75,100.2,"M",2006,1,4
27,NA,97.7,"M",2007,2,4
28,NA,86.88,"M",2008,3,4
31,101,102.7,"M",2006,0,3
32,NA,95.43,"M",2007,1,3
33,NA,105.5,"M",2008,2,3
15,81.1,89.03,"M",2006,0,3
16,NA,78.03,"M",2007,1,3
17,NA,75.67,"M",2008,2,3
32,NA,69.65,"M",1999,0,4
33,70.3,70.38,"M",2000,1,4
34,75.1,75.32,"M",2001,2,4
41,NA,70.78,"M",2008,3,4
27,80.38,88.67,"M",2005,0,4
28,85.17,88.27,"M",2006,1,4
29,NA,77.78,"M",2007,2,4
30,NA,74.23,"M",2008,3,4
37,82.43,88.98,"M",2003,0,4
38,92.67,99.28,"M",2004,1,4
41,NA,84.97,"M",2007,2,4
42,NA,83.32,"M",2008,3,4
26,108.8,114.3,"M",2003,0,5
27,98.2,102.2,"M",2004,1,5
29,108,115.3,"M",2006,2,5
30,NA,117.9,"M",2007,3,5
31,NA,106,"M",2008,4,5
28,72.95,73.55,"M",2004,0,3
29,70.2,70.62,"M",2005,1,3
30,71.85,75.82,"M",2006,2,3
20,65.23,65.3,"M",2001,0,4
21,62.85,68.1,"M",2002,1,4
23,63.63,63.68,"M",2004,2,4
24,64.63,64.67,"M",2005,3,4
28,NA,68.72,"M",1999,0,3
30,70.05,70.55,"M",2001,1,3
31,83.08,87.5,"M",2002,2,3
26,86.42,90.88,"M",2005,0,3
27,75.85,76.38,"M",2006,1,3
28,NA,74.48,"M",2007,2,3
32,87.42,89.12,"M",2004,0,4
33,79.82,80.87,"M",2005,1,4
35,NA,87.98,"M",2007,2,4
36,NA,92.42,"M",2008,3,4
29,96.55,98.85,"M",2001,0,3
30,85.32,91.32,"M",2002,1,3
31,83.42,86.27,"M",2003,2,3
25,96.55,101.4,"M",2005,0,3
27,NA,79.72,"M",2007,1,3
28,NA,77.9,"M",2008,2,3
30,92.72,95.9,"M",2006,0,3
31,NA,82.87,"M",2007,1,3
32,NA,84.52,"M",2008,2,3
24,72.23,73.15,"M",2000,0,8
25,68.32,69.2,"M",2001,1,8
26,71.55,72.08,"M",2002,2,8
27,69.62,69.9,"M",2003,3,8
28,70.17,71.18,"M",2004,4,8
29,68.12,68.42,"M",2005,5,8
31,NA,64.17,"M",2007,6,8
32,NA,65.03,"M",2008,7,8
30,86.35,90.12,"M",2005,0,3
31,87.28,88.95,"M",2006,1,3
32,NA,82.28,"M",2007,2,3
38,83.25,84.82,"F",2005,0,3
39,83.58,83.87,"F",2006,1,3
40,NA,85.37,"F",2007,2,3
56,97.1,100.4,"M",2001,0,4
57,99.25,102.6,"M",2002,1,4
58,95.33,97.83,"M",2003,2,4
59,102.7,104.6,"M",2004,3,4
50,101.6,105.3,"M",2003,0,3
51,98.27,106.1,"M",2004,1,3
52,99.63,103.3,"M",2005,2,3
34,77.37,83.02,"M",2005,0,4
35,74.9,75.7,"M",2006,1,4
36,NA,68.78,"M",2007,2,4
37,NA,65.53,"M",2008,3,4
49,NA,79.62,"M",1999,0,3
50,80.1,82.1,"M",2000,1,3
52,82.93,87.02,"M",2002,2,3
45,114.2,119.8,"F",2001,0,4
46,109.3,115,"F",2002,1,4
49,110.8,114.6,"F",2005,2,4
50,113.5,120.6,"F",2006,3,4
50,NA,108.8,"M",1999,0,3
52,108.6,113,"M",2001,1,3
53,113.8,119.8,"M",2002,2,3
40,NA,85.17,"F",1999,0,5
41,92.65,95.95,"F",2000,1,5
42,86.93,95.12,"F",2001,2,5
43,91.13,93.57,"F",2002,3,5
44,89.05,93.02,"F",2003,4,5
25,90.52,95.4,"F",2003,0,3
26,82.32,85.25,"F",2004,1,3
27,86.03,91.33,"F",2005,2,3
31,94.97,101.8,"M",2003,0,3
32,95.53,98.18,"M",2004,1,3
33,99.15,100.1,"M",2005,2,3
35,NA,102.1,"F",1999,0,8
37,94.02,99.47,"F",2001,1,8
38,114.4,122.9,"F",2002,2,8
39,96.47,102.4,"F",2003,3,8
40,94.07,101.4,"F",2004,4,8
41,92.48,100.8,"F",2005,5,8
42,90.25,99.48,"F",2006,6,8
43,NA,85.7,"F",2007,7,8
23,NA,90.53,"F",1999,0,3
24,86.83,88.1,"F",2000,1,3
25,94.38,99.4,"F",2001,2,3
29,89.62,97.68,"F",2005,0,3
30,84.8,89.93,"F",2006,1,3
31,NA,80.25,"F",2007,2,3
39,78.97,85.42,"F",2005,0,3
41,NA,76.47,"F",2007,1,3
42,NA,74.78,"F",2008,2,3
37,66.07,66.47,"M",2001,0,4
39,63.5,63.58,"M",2003,1,4
40,62.77,62.77,"M",2004,2,4
41,66.68,66.68,"M",2005,3,4
39,NA,77.6,"M",1999,0,9
40,73.32,73.57,"M",2000,1,9
41,75.37,75.77,"M",2001,2,9
42,75.5,76.17,"M",2002,3,9
44,76.6,76.97,"M",2004,4,9
45,76.9,77.3,"M",2005,5,9
46,77.07,77.3,"M",2006,6,9
47,NA,74.33,"M",2007,7,9
48,NA,79.17,"M",2008,8,9
49,85.25,86.72,"M",2005,0,4
50,78.13,79.67,"M",2006,1,4
51,NA,79.08,"M",2007,2,4
52,NA,77.48,"M",2008,3,4
44,76.82,77.28,"M",2000,0,6
45,75.53,75.72,"M",2001,1,6
47,74.45,74.6,"M",2003,2,6
48,78.47,79.02,"M",2004,3,6
49,75.82,75.97,"M",2005,4,6
50,74.28,74.43,"M",2006,5,6
48,NA,106.7,"M",1999,0,6
51,107.5,111.5,"M",2002,1,6
53,109.6,115.2,"M",2004,2,6
54,121.2,121.2,"M",2005,3,6
55,132.6,139.5,"M",2006,4,6
56,NA,117.9,"M",2007,5,6
52,134.3,138.4,"M",2000,0,4
53,122.4,135.7,"M",2001,1,4
54,126.8,133,"M",2002,2,4
55,118.6,123.4,"M",2003,3,4
41,93.15,99.82,"M",2002,0,3
42,96.13,102.6,"M",2003,1,3
46,NA,97.07,"M",2007,2,3
53,89.65,96.53,"M",2003,0,4
54,86.48,91.35,"M",2004,1,4
55,88.7,97.63,"M",2005,2,4
57,NA,95,"M",2007,3,4
47,95.27,98.2,"M",2002,0,5
50,95.85,103.8,"M",2005,1,5
51,94.95,99.57,"M",2006,2,5
52,NA,102.9,"M",2007,3,5
53,NA,106,"M",2008,4,5
46,NA,67.57,"M",1999,0,6
48,61.87,61.95,"M",2001,1,6
51,64.77,64.9,"M",2004,2,6
52,66.4,66.57,"M",2005,3,6
54,NA,68.02,"M",2007,4,6
55,NA,62.5,"M",2008,5,6
31,91.42,95.52,"M",2005,0,4
32,85.4,88.42,"M",2006,1,4
33,NA,84.5,"M",2007,2,4
34,NA,87.57,"M",2008,3,4
63,NA,75.77,"M",1999,0,8
64,77.78,77.95,"M",2000,1,8
66,76.88,76.98,"M",2002,2,8
67,79.47,79.52,"M",2003,3,8
68,88.63,88.8,"M",2004,4,8
69,95.53,95.7,"M",2005,5,8
71,NA,89.32,"M",2007,6,8
72,NA,89.62,"M",2008,7,8
49,88.07,95.83,"M",2001,0,4
50,78.07,78.93,"M",2002,1,4
52,84.15,85.18,"M",2004,2,4
54,92.13,94.88,"M",2006,3,4
42,NA,73.38,"M",1999,0,3
43,106.6,110.6,"M",2000,1,3
44,88.2,91.83,"M",2001,2,3
39,84.77,88.47,"M",2001,0,6
40,84.53,85.57,"M",2002,1,6
41,87.38,89.2,"M",2003,2,6
42,95.77,100.2,"M",2004,3,6
43,89.4,91.17,"M",2005,4,6
44,87.05,93.23,"M",2006,5,6
33,67.28,68.32,"M",2004,0,5
34,65.13,65.55,"M",2005,1,5
35,68.67,70.02,"M",2006,2,5
